Parameter,Value
Pump Frequency,2.1 Hz
Incoming Flow Velocity U∞,0.0351 m/s
Reynolds Number,1099.6
Strouhal Number,0.21
Expected Shedding Frequency,0.580 Hz
Measured Shedding Frequency,2.488 Hz
Frequency Error,329.27%
Particle Reaction Time,5.2255e-05 s
Flow Time Scale,1.7254 s
Stokes Number,3.0285e-05
