vertex_x,vertex_y,upper_slope,lower_slope,upper_intercept,lower_intercept,cone_angle_rad,cone_angle_deg,base_height_pixels,frame,time
258.5592077346899,88.46594213396651,-0.128704952965096,0.11665435499453833,121.74379280415225,58.303884527777406,0.12206969749738689,6.994078473038936,126.33333333333334,0,0.0
416.742188311537,260.27840109378934,-0.13356992148822155,0.1118979960207892,315.942622467391,213.64578536441002,0.1221231967361471,6.997143753627059,126.49999999999997,100,0.01
418.57069087338704,262.0462611743818,-0.1337471153899353,0.11170373254974987,318.02888366546966,215.29035266789697,0.1221147885996884,6.996662002894405,125.66666666666669,101,0.010100000000000001
420.3818515912867,263.81027349875205,-0.13378582210989537,0.11151989917417422,320.05140511397235,216.92933179463907,0.12204330134282566,6.992566084787203,123.66666666666669,102,0.0102
422.11515047274384,265.6025906636612,-0.13390921743794243,0.11125568578525152,322.12770013216567,218.63988011747148,0.12197393523801542,6.988591699740314,123.33333333333334,103,0.0103
424.0791115059053,267.36985489301907,-0.13404497348860467,0.11096931727255592,324.21552815189915,220.31008541965662,0.12189974316626222,6.984340807155523,122.16666666666666,104,0.010400000000000001
425.7184146262936,269.1539418491656,-0.13420399124201612,0.1107824702350856,326.28705223723773,221.99180425230043,0.12188603424437372,6.9835553437896385,121.33333333333334,105,0.0105
427.59167189456707,270.95717742133303,-0.1343952881396278,0.11048651921933446,328.4234833717086,223.7140619465266,0.12183448039929473,6.9806015260489405,120.33333333333334,106,0.0106
429.7529127774412,272.7122764320006,-0.13448515647909648,0.11030911341951849,330.50766415422225,225.30661363406537,0.12179135792054556,6.978130790014471,119.00000000000003,107,0.010700000000000001
431.4494975266764,274.5071400098256,-0.13465611115891885,0.11002246237602058,332.60445150823745,227.03800390104388,0.12173436317682003,6.974865231744568,118.16666666666669,108,0.0108
433.27380701365627,276.2452627645994,-0.1346187211391148,0.10987872394172264,334.5720285678534,228.63768973256663,0.12164513345382118,6.969752745209613,116.66666666666666,109,0.0109
271.3190167198159,105.13875795666343,-0.12791888163948842,0.11723533250167259,139.84558314298795,73.33058281748895,0.12196866981421602,6.9882900131792605,122.66666666666666,10,0.001
435.515810898293,278.0348372685201,-0.13484623084485303,0.1096261187484026,336.76250284149467,230.29092926617696,0.12163277045302491,6.96904439744187,115.99999999999997,110,0.011000000000000001
437.31416463142153,279.82500744707806,-0.13502935789342196,0.10944642915793232,338.8752582949571,231.96253370798482,0.12163446387908407,6.969141423607977,115.83333333333334,111,0.0111
