Parameter,Value
M_t,0.05084225567241025
p_t [Pa],69747.19942237875
T_t [K],295.6941808777075
p_0 [Pa],69873.4853829871
T_0 [K],295.84705092294126
M_∞ [experimental],3.79
p_∞ [Pa],611.2471025945785
T_∞ [K],76.39060191874172
ρ_∞ [kg/m³],0.027880142213603305
a_∞ [m/s],175.19630090544268
V_∞ [m/s],663.9939804316277
